"Variable","Shock","Impact_Q0","Peak_Response","Peak_Horizon","Peak_68_Significant"
"GDP-D (log)","Monetary Policy Shock",-0.00198333173784309,-0.002113161499644,5,"*"
"Unemployment (pp)","Monetary Policy Shock",0.0566078645854274,0.0658422198098926,5,"*"
"CPIF (log)","Monetary Policy Shock",-0.000416316839497445,-0.000908467370705245,17,""
"Interest (pp)","Monetary Policy Shock",0.0458492107791442,0.0458492107791442,0,"*"
"Durables (log)","Monetary Policy Shock",-0.00860439476468438,-0.00860439476468438,0,""
"DTA (pp)","Monetary Policy Shock",-0.056982952571193,-0.056982952571193,0,""
"DSR (pp)","Monetary Policy Shock",-0.00598740077021034,-0.0105135245110327,7,""
"LAI (pp)","Monetary Policy Shock",-1.264080358456,-1.264080358456,0,""
"Savings (pp)","Monetary Policy Shock",-0.100059421036228,-0.100059421036228,0,""
"REER (log)","Monetary Policy Shock",0.00111762281123498,-0.00150435754850661,20,""
"GDP-D (log)","Adverse Macro Shock",-0.00164535489664113,-0.00164535489664113,0,"*"
"Unemployment (pp)","Adverse Macro Shock",0.0649866829478818,0.0649866829478818,0,"*"
"CPIF (log)","Adverse Macro Shock",0.000202683837578654,0.000293423920203413,30,""
"Interest (pp)","Adverse Macro Shock",-0.0526636381958778,-0.0570908156202368,3,"*"
"Durables (log)","Adverse Macro Shock",0.000895288711584889,0.0072037154819888,12,""
"DTA (pp)","Adverse Macro Shock",-0.0122765057647957,-0.0922978758578006,13,""
"DSR (pp)","Adverse Macro Shock",-0.0346701610175532,-0.0346701610175532,0,""
"LAI (pp)","Adverse Macro Shock",-0.575890736575643,0.766216086537366,11,""
"Savings (pp)","Adverse Macro Shock",0.283665775056034,0.283665775056034,0,""
"REER (log)","Adverse Macro Shock",-0.00403952146835959,-0.00631271018477275,9,"*"
